,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região
28321,28321,2009,23,2670,15,1,4.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,250.0,,,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,1,26,9,2304,1,1.0,193,0.0011098581,43,3632054,200,226.0,390.0,8,230004,225,1.0,4.0,97.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,20120710,Nordeste
28345,28345,2009,23,2697,5,1,5.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,3.0,,1.0,,3.0,,,,1.0,1.0,4.0,4.0,3.0,4.0,,4.0,1.0,2.0,,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0349483104,27,4876759,500,498.0,364.0,353,230025,524,1.0,5.0,72.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28347,28347,2009,23,2697,7,1,5.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,3.0,,,,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,3.0,2.0,,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0349483104,27,4876759,500,498.0,521.0,353,230025,524,1.0,5.0,104.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28349,28349,2009,23,2697,9,1,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,3.0,,1.0,,3.0,,,,1.0,1.0,2.0,4.0,3.0,4.0,,4.0,1.0,2.0,,1.0,2.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0349483104,27,4876759,500,499.0,465.0,353,230025,524,1.0,2.0,232.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28354,28354,2009,23,2697,14,1,4.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,,2.0,1.0,4.0,1.0,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0349483104,27,4876759,500,498.0,407.0,353,230025,524,1.0,4.0,101.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28367,28367,2009,23,2700,6,1,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,,,2.0,3.0,,1.0,,3.0,,,,3.0,1.0,4.0,4.0,1.0,,4.0,2.0,1.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,465.0,353,230025,524,1.0,1.0,465.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28370,28370,2009,23,2700,9,1,5.0,5.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,,,2.0,3.0,,1.0,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,4.0,4.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,4.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,499.0,561.0,353,230025,524,1.0,5.0,112.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28373,28373,2009,23,2700,12,1,4.0,3.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,3.0,,1.0,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,4.0,4.0,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,201.0,353,230025,524,1.0,4.0,50.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28375,28375,2009,23,2700,14,1,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,,,,3.0,,1.0,,3.0,,,,4.0,1.0,4.0,4.0,3.0,4.0,,4.0,3.0,2.0,,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,499.0,740.0,353,230025,524,1.0,2.0,370.0,3.0,9.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
28378,28378,2009,23,2700,17,1,3.0,3.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,4.0,2.0,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2315,2,0.1531178325,5,0.0476006789,36,4876759,500,498.0,1056.0,353,230025,524,1.0,3.0,352.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste
