,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região,Geladeira
294,294,2009,11,147,24,1,5.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,4.0,1,0,2,26,9,1102,1,1.0,5,0.0475025747,48,1198438,200,255.0,180.0,141,110002,9,1.0,5.0,36.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
300,300,2009,11,155,2,1,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,4.0,,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0137744593,14,1198438,200,256.0,262.0,141,110002,10,1.0,3.0,87.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
309,309,2009,11,155,11,1,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0137744593,14,1198438,200,256.0,0.0,141,110002,10,1.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
310,310,2009,11,155,12,1,2.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1102,1,1.0,5,0.0137744593,14,1198438,200,256.0,1400.0,141,110002,10,1.0,2.0,700.0,4.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,2.0,3.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
320,320,2009,11,163,1,1,6.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,150.0,,,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,,4.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.0982328482,12,1198438,200,255.0,1532.0,274,110009,71,1.0,6.0,255.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
337,337,2009,11,171,2,1,8.0,6.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1247401247,15,1198438,200,256.0,894.0,274,110009,71,1.0,8.0,111.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
339,339,2009,11,171,4,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,,,,3.0,,3.0,2.0,3.0,,,,1.0,1.0,2.0,4.0,1.0,,1.0,Não possui,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1247401247,15,1198438,200,255.0,600.0,274,110009,71,1.0,1.0,600.0,4.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Não
347,347,2009,11,171,12,1,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1247401247,15,1198438,200,256.0,610.0,274,110009,71,1.0,3.0,203.0,2.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Não
361,361,2009,11,180,7,1,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1044698545,13,1198438,200,255.0,200.0,274,110009,71,1.0,2.0,100.0,1.0,8.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Não
371,371,2009,11,180,17,1,6.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,3.0,Não possui,1.0,4.0,3.0,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1044698545,13,1198438,200,255.0,230.0,274,110009,71,1.0,6.0,38.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Não
390,390,2009,11,198,12,1,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1138253638,14,1198438,200,256.0,615.0,274,110009,71,1.0,1.0,615.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Não
398,398,2009,11,201,5,1,6.0,6.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,,1.0,Possui Filtro,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,1106,2,0.0604672387,5,0.1257796258,15,1198438,200,256.0,1100.0,274,110009,71,1.0,6.0,183.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Norte,Sim
492,492,2009,11,244,10,1,4.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,1.0,2.0,3.0,,2.0,1,0,3,26,9,1107,2,0.2651252653,5,0.0366732155,19,1198438,200,255.0,465.0,276,110010,73,1.0,4.0,116.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
536,536,2009,11,279,1,1,2.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,2.0,1.0,2.0,6.0,1,0,2,26,9,1103,1,1.0,9,0.0149633875,27,1198438,200,255.0,1950.0,142,110003,12,1.0,2.0,975.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
601,601,2009,11,309,11,1,3.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,5.0,,,,1.0,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1103,1,1.0,9,0.0100463405,18,1198438,200,255.0,240.0,142,110003,15,1.0,3.0,80.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,20120710,Norte,Sim
615,615,2009,11,317,9,1,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,2,26,9,1103,1,1.0,9,0.0112490714,20,1198438,200,255.0,816.0,142,110003,16,1.0,2.0,408.0,3.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,Sim,6.0,3.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Norte,Sim
